code,lat,lon
MPRT,54.711317380547804,-3.494105365073103
PLMDCMD,55.83609310580591,-4.239821735955552
HROW307,51.592010387060746,-0.33431733036505057
FIFOTPS,51.56008583391187,-2.960747739134452
WHALYBG,53.33025107601539,-1.984735134590731
TOTON04,58.25884443626708,-3.941066575820828
BLCKPLN,53.82299911464687,-3.0484358401269485
HETNLJN,53.679595688036436,-1.7177376461755007
HUNMNBY,54.17410267505182,-0.31447294285361116
ORPN009,51.37357851842499,0.08877293803725801
OXLEYCS,52.60541688649134,-2.1372227404015764
MRGMT33,51.543127847707034,-3.7431892827928683
YTMNSTR,50.895654264827385,-2.5738680521286215
STPX,51.530965341883125,-0.1259214106528589
TUNWELL,51.1299403219193,0.2630104492071101
DOVRCRT,51.938814926660164,1.2806895081438647
PRTCFHH,54.59272483832865,-1.2116963112991064
HONYBTP,52.09895173704307,-1.818964439813912
CLFDOWN,51.46444621011386,-2.611307674734548
HULLARJ,53.74396145457106,-0.36676556670314964
SWANMCS,51.63383247138559,-3.935992439365906
LAWJDS,55.75444965785475,-3.8726505252140337
HNTRGBF,55.73309974276178,-4.872156098097436
CWLRSWJ,55.883255758749016,-4.238524884300663
KTON,51.58140683579695,-0.31654800326173305
STNGMJN,51.361843481278356,0.7350205554340018
STNLSAS,53.27843077089998,-2.8461471233867104
ROHL,53.395817181745606,-2.0766110031882734
FRTMTLD,55.958891920543564,-4.79540166682176
MLTBCGB,53.43081683477152,-1.1656962892588505
REDBJN,50.92020697666143,-1.4720346288372272
ALSCTSW,52.70949856127119,-2.5708138299787686
SDEPFA,51.39199022361351,-0.0785085972470161
PRKADIL,50.37703220505861,-4.89029292246216
HWRDJN,51.270875121786496,-2.1785999724624454
LEAJ,51.54328794332018,-0.016171066961789812
SHAPHNS,54.54760619327207,-2.6897896875268787
NTHNDJ8,53.3987256633303,-2.250004580627662
SHAPHNQ,54.54760619327207,-2.6897896875268787
WALKDEN,53.51977593828357,-2.395551839250117
WLSD303,51.54623188594884,-0.28753112902791256
WATRBAL,51.49605993587356,-0.11548237444356196
TALN544,52.69871372821817,-0.4521097244287029
GLHM,51.03405150104487,-2.272267279263017
SOUT087,53.64607385290917,-3.0017434353875263
SHRNSDG,51.43806076031764,0.754466950856084
HLYHDLS,53.296680503046154,-4.606673238310612
MOTO,53.40725053168678,-3.1134429505905614
LLNWTMR,51.40957036135277,-3.4812807386244993
LRKFLDJ,55.84203811484482,-4.2582610308099955
TIGNGRC,50.55634996965487,-3.6256961036175905
WORKWRD,53.31357561889041,-1.1317647728434292
NTHNRTS,53.398562143909984,-2.2465145070752364
LNDNBCJ,51.49816237192447,-0.07331175462717035
ORTONMR,52.56292607856683,-0.2737453106934631
ROOSPHF,54.12972350389644,-3.188269227139743
LUDLOW,52.370990914898236,-2.7158890353732055
BHAMMRS,52.47868997951906,-1.8913691848097927
THEALE,51.433414698088626,-1.073937959797829
TRNTHAM,52.9744840725824,-2.175426609065107
PENZUPL,50.1261942377258,-5.524963640187697
WIGTROS,54.835650136237405,-3.1065959788158204
HYWR225,50.998260732399224,-0.10787411003950273
SUTT193,51.36061686768181,-0.18697777173467903
HYWR226,50.998260732399224,-0.10787411003950273
HERTFDD,51.7994001493508,-0.07175100160723517
HERTFDE,51.7994001493508,-0.07175100160723517
CLNKRDJ,51.23708475291626,-2.293819422163137
HCKP863,53.66009933510264,-1.1060177977617363
AMNG490,52.63828140754604,-1.669804657581013
CESOKWV,55.58790075287653,-4.449311721390922
CNTBEES,51.27423278521778,1.075507371489906
FERYBDG,53.71187611881631,-1.271129539701956
BEATUSS,55.4206620115388,-3.5881631053263328
SELH051,51.392467729193754,-0.08901045344153397
PSLYSTJ,55.851911225451246,-4.441918711320242
FAYGATE,51.09593520652874,-0.2631168932582551
CNTY,55.854884016110944,-4.179387723569685
BRDGDUN,51.1645307171639,-2.983353533760439
MRLY,53.74955603819774,-1.5917385060689282
KILGETY,51.73236027619182,-4.714591602020565
CMDNRDJ,51.54188794037975,-0.139273698650316
COLDHAM,52.6045917225358,0.11428313364445979
BORWGAW,51.29312612522311,0.30539411567751973
COATDYK,55.86431661636685,-4.004695528127169
GFORDSJ,51.53698870661611,-0.33824445670668424
WILMCOT,52.22252871476462,-1.7557503777144696
GVNDCLP,51.70357003451588,-4.05496797350492
WRUNTON,52.93548814037028,1.2460948255053035
SDFRTSB,53.70361536719126,-1.1951980096698511
BALISTN,55.84452675227649,-4.113699812976393
STKPCVJ,53.39846895402663,-2.248108128653171
WLNGBRO,52.30375151416347,-0.6764317969362792
ELGH105,50.977769007974835,-1.3477150178779789
CANTTMD,51.47574625691713,-3.1924986151700576
WARWICK,52.28659200844403,-1.581868652765067
WVRMTST,52.581407241547765,-2.1093729385966022
IMNG7FH,53.629291046862065,-0.21839293780479352
MINFFR,52.925880477865235,-4.084834357471955
UWRLNGH,51.30798325007801,-0.07764374924379443
REDHLS,50.91562743493716,-1.461659415305808
CMPRDNJ,56.46284622721004,-2.9596497307095753
ERLSTWN,53.45133547867109,-2.6371693227113506
EARLFHH,53.35612640899522,-1.7441867356907734
ERLSTWJ,53.450903392765,-2.63896981294809
GIDBGEJ,53.47454529224845,-2.1132433047334045
BNTBFHH,53.57244382431061,-0.4146733221072657
BISHPBA,55.90538292800203,-4.5043993000831355
KILWJCE,55.65773157661118,-4.7095216371991535
CHFN,53.82682320434525,-1.2275087217941585
BESSCRJ,53.495966633346946,-1.0810278537633284
WSTBRDY,51.26040685075086,-2.2168665240585037
TONDLFL,51.54755398358113,-3.59519563248491
CHFD,53.238332584713234,-1.4195449454236275
HENDYJ,51.71052228729873,-4.053879083695632
AYLSBCH,51.81342972794224,-0.8141505585179521
WIGANWL,53.54518816534429,-2.6349113372465154
HIGM,51.426690666579624,0.4663424477880858
IBMM,55.92941130490566,-4.8271733754256765
EUROHS,51.08700967790246,1.1383296941975627
NWAL21,52.801711759251255,1.392623937604698
GREENRD,54.244146451657656,-3.2455287365493515
OLDOACE,51.52653324301529,-0.2445753502424205
OXENDGL,54.30095451938254,-2.7260725182666112
FAZKRLY,53.46921994417618,-2.936470104313528
WSLE,50.85316530118265,0.5401348899558718
CHTSEY,51.38723341472719,-0.5096704956415666
BROWUPL,55.72603848813152,-4.694774243995562
CARLILY,54.93007876793431,-2.9784094011398334
CARLILE,54.89127771409225,-2.934578102459788
LNGPCS,53.050866755962026,-2.22263911978233
TULS178,51.43755211882517,-0.10754630829402831
CRPHLY,51.571494439499816,-3.217614016729561
ADNL,53.61286768822617,-2.602566637876221
BRGEFGF,51.49260509808495,-3.575053923117109
WARNHAM,51.09318316595782,-0.329753860169015
THRSFHH,53.200000152368034,-1.052862765214809
